waktu,tweets,Sentiment
2022-12-22 07:16:15,ramadhan idhul fitri ppkm mulai lagi gitu ya maksud nya,0
2022-12-22 07:14:09,video ppkm bakal setop presiden joko widodo masih tunggu kaji menteri sehat,1
2022-12-22 07:14:08,jokowi ingin cabut bijak ppkm legislator pan beri catat ini,1
2022-12-22 07:13:44,sedang ppkm di depan kulkas indomaret ,1
2022-12-22 07:13:44,smg dberi ktaban sampai dckupkn dari rejeko lain aminn  ini pntingnya sistem honor d hapus sampai dpercepat utk,0
2022-12-22 07:13:04,ga sadar kalo masih ppkm,0
2022-12-22 07:12:55,vaksinasi booster buat publik makin lindung dari covid jika ppkm cabut,0
2022-12-22 07:11:02,lihat trend kasus covid di indonesia yang terus turun presiden joko widodo rencana akan henti ppkm maupun,1
2022-12-22 07:10:58,masa gua minggu ppkm mulu,0
2022-12-22 07:10:25,gibran aku senang dengan rencana perintah pusat yang akan henti bijak ppkm,1
2022-12-22 07:08:30,tuju hapus ppkm semua sdh bebas yang tidak vaksin vaksin booster kalau kena virus ya tetap ke,0
2022-12-22 07:07:23,jokowi nyata akhir tahun perintah bakal cabut ppkm desember ibuibu snowdrop hug me,1
2022-12-22 07:06:55,janji jam tapi jam gin blom ada kabar gua ppkm bgt ini di depan gedung teknik,1
2022-12-22 07:05:17,loh dari kemarin itu ppkm pikir sudah normal,0
2022-12-22 07:04:01,iya jangan nnti april ppkm lgi,1
2022-12-22 07:03:03,janji ga ppkm,1
2022-12-22 07:02:41,ppkm pernah percaya kemudian sesal,1
2022-12-22 07:01:31,anggota dpr minta rencana jokowi hapus ppkm kaji matang,1
2022-12-22 07:01:06,wali kota solo gibran rakabuming raka sepakat hadap bijak perintah pusat yang mungkin akan henti,1
2022-12-22 07:00:00,lihat trend kasus covid di indonesia yang terus turun presiden joko widodo rencana akan henti ppk,1
2022-12-22 06:57:57,ppkm thorr,0
2022-12-22 06:57:44,presiden joko widodo jokowi bicara tentang kasus covid yang mulai kendali jokowi nyata mungkin ppkm a,0
2022-12-22 06:57:01,rahmad beri catat khusus kait rencana cabut ppkm,0
2022-12-22 06:53:09,cabut ppkm nilai bagai upaya pulih ekonomi hadap ancam resesi namun dengan catat penting ter,0
2022-12-22 06:51:49,memang dejun benar deh wajah kun jd ppkm,1
2022-12-22 06:51:36,yooo kuat yooo indonesia sehat bisa hadap naik turun pandemi covid moga akhir ppkm akhir tahun ini,1
2022-12-22 06:49:48,telah laksana giat patroli ppkm level dan monitoring antri bbm di spbu wilayah kec sumberlawang a,1
2022-12-22 06:48:10,operasi yustisi wilkum polsek firdaus dalam rangka tingkat disiplin dan tega hukum protokol sehat se,1
2022-12-22 06:45:36,ppkm planga plongo kayak monyet iya aing,1
2022-12-22 06:44:57,ishoma dulu guys di masjid ini jadi ingat waktu jaman ppkm waktu itu mau sholat jumat di libur jadi sholat,1
2022-12-22 06:44:03,status ppkm level pemko pekanbaru silah warga riah natal dan tahun baru,1
2022-12-22 06:40:20,cabut ppkm politikus pan who belum lepas status pandemi,1
2022-12-22 06:35:25,presiden jokowi beri sinyal kuat ppkm akan nyata henti di akhir tahun ini arti klo ga ada ppkm lag,1
2022-12-22 06:34:38,perintah akan cabut ppkm pada akhir tahun indonesia bebas covid,1
2022-12-22 06:34:31,woow hari gin masih ada ppkm saya kagak percaya masih ada copadcopid bukti ribu orang u,1
2022-12-22 06:22:21,ppkm segera akhir jokowi tunggu kaji kemenkes,0
2022-12-22 06:19:44,sekarang tahun saja gue mas ppkm planga plongo kaya monyet buset,1
2022-12-22 06:19:32,ppkm pelan pelan kena mental,1
2022-12-22 06:18:26,kini jokowi sebut kasus hari sudah turun ke angka situasi yang kian kendali ini yang buat jokowi,1
2022-12-22 06:18:24,sehingga dia klaim situasi yang sangat sulit sebut dapat kelola dengan baik,0
2022-12-22 06:18:23,untung kita saat itu masih tenang tidak gugup tidak gelagap kata jokowi,1
2022-12-22 06:17:17,jokowi mungkin ppkm akan henti pada akhir tahun,1
2022-12-22 06:15:05,status ppkm bakal cabut saleh daulay ingat perintah soal ini,1
2022-12-22 06:14:49,presiden joko widodo jokowi bicara tentang kasus covid yang mulai kendali jokowi nyata mungkin,0
2022-12-22 06:13:42,jokowi lawan pandemi menag yaqut cholil qoumas kata tak ada batas jumlah jemaat di gereja saat ibadah n,1
2022-12-22 06:13:09,anggota dpr paham rencana henti ppkm antara news bengkulu,1
2022-12-22 06:12:35,presiden jokowi beri sinyal positif kait henti status ppkm yang rencana mulai akan laku a,0
2022-12-22 06:11:40,selalu ngerasa feeling lonely ya karena w gaada giat apa apa temen temen pada kuliah pacar juga kerja dangka,0
2022-12-22 06:10:45,dpr minta perintah kaji cara matang soal hapus ppkm news,1
2022-12-22 06:10:44,rencana cabut ppkm legislator pan harap landas kaji matang via,0
2022-12-22 06:10:19,apakah hotel buka saat ppkm darurat,1
2022-12-22 06:10:04,saleh daulay tanggap rencana cabut status ppkm oleh jokowi,0
2022-12-22 06:09:15,situasi seperti itu harus kita ingat betapa sangat sulit kata dia,1
2022-12-22 06:09:02,komisi ix minta perintah beri arah yang jelas belum cabut ppkm,1
2022-12-22 06:08:30,kalo udah ga jaman ppkm mending sekarang follback aku ,1
2022-12-22 06:05:58,ppkm ya meg planga plongo kayak meong,1
2022-12-22 06:00:00,pakar sehat iakmi imbau bijak hapus ppkm tunggu februari,1
2022-12-22 05:44:31,apa beda kita sama tepung kalo tepung serba guna kalo kita serba salah apalagi kita sering ppkm pl,1
2022-12-22 05:44:13,ppkm,0
2022-12-22 05:38:52,masih jaman ppkm,0
2022-12-22 05:36:21,ppkm plonga plongo kayak meong,1
2022-12-22 05:36:20,ppkm kiss,1
2022-12-22 05:36:03,hari hari gue ppkm,1
2022-12-22 05:34:00,henti ppkm jadi tanda terus landa kasus covid,0
2022-12-22 05:31:34,jokowi akan setop ppkm bagaimana situasi covid indonesia saat ini,1
2022-12-22 05:29:44,kasus covid landai jokowi akhir tahun ini ppkm akan henti,1
2022-12-22 05:27:44,arti stock sarpras butuh medis covid sdh habis makanya ppkm mau akhir alhamdulillah par,1
2022-12-22 05:25:58,akhir tahun perintah nyata ppkm henti,1
2022-12-22 05:23:32,gue bangun dari tidur siang trs tbtb sedihh ya allah beneran sudah demis dari bem fisip ya gaada lagi habis ini nongs,0
2022-12-22 05:18:33,peluang ppkm cabut idi waspada tetap harus ada,1
2022-12-22 05:13:46,jokowi akan henti ppkm apakah telah gugat rakyat gugat lanjut kok pak link ,1
2022-12-22 05:13:08,jokowi akan cabut ppkm epidemiolog status darurat covid jangan,1
2022-12-22 05:09:02,ppkm bakal henti dpr ingat jangan euforia lebih,1
2022-12-22 05:00:55,tahun baru bakal ada ppkm ga ya soal pas kemarin ada yang nikah enggak ada ppkm,1
2022-12-22 05:00:23,saya s dengan cabut ppkm di nkri sudah harus dengan prokes tetap terap meng,1
2022-12-22 04:59:30,hero ppkm ini skt bgt y,1
2022-12-22 04:57:31,presiden ri wacana henti ppkm di akhir tahun,1
2022-12-22 04:56:49,alhamdulillah ini kabar baik kasus covid di indonesia makin landai dan ada mungkin ppkm akan segera akhir,0
2022-12-22 04:56:45,moga saja pandemi ini memang segera usai iring dg turun kasus positif covid di indonesia moga ppkm juga bisa seg,1
2022-12-22 04:56:42,hanya tinggal tunggu kaji dari kemenkes maka presiden jokowi akan teken putus henti ppkm masuk siap pa,1
2022-12-22 04:56:40,lom sejak tadi saya hanya ppkm,0
2022-12-22 04:55:37,wah alhamdulillah pak jokowi akan sudah laku ppum bakal siap payung hukum juga,1
2022-12-22 04:55:20,kabar baik presiden jokowi beri sinyal akhir masa ppkm dan selesai pandemi akhir tahun ini tinggal nunggu hasil kaji dr,1
2022-12-22 04:55:16,kasus covid tinggi kota malang ppkm level,0
2022-12-22 04:54:38,saiki bmkg ora ppkm neh,1
2022-12-22 04:53:27,akhir tahun ini ppkm di indonesia akan henti epedemiolog prediksi juta duduk china akan kena covid da,1
2022-12-22 04:52:38,pertama kali dateng ke event sendiri ppkm ga ya,1
2022-12-22 04:52:31,iyah nih ppkm wkwk tapi kan tetap enak nuna kalo dideketin enggak mau lepas,1
2022-12-22 04:50:51,dan kata dalam beberapa minggu ke depan ppkm akan cabut lah ada ppkm saja anak krl udah kaya begitu,1
2022-12-22 04:50:51,tapi ntar kalo idul fitri muncul lagi wacana ppkm basi,1
2022-12-22 04:49:33,pak jangan ragu terap cabut bijak ppkm yang sudah tidak relevan dg situasi duduk indonesia dg tingkat,1
2022-12-22 04:48:30,ppkm boleh henti tapi meeting online tetap lanjut pleaseeeee,0
2022-12-22 04:48:24,benar banget kucing ku kena scabies ku salep sama semprot sembuh minggu kemudian tumbuh lg,0
2022-12-22 04:47:59,hanya tinggal tunggu kaji dari kemenkes maka presiden jokowi akan teken putus henti ppkm masuk m,1
2022-12-22 04:47:10,perintah minta beri arah dan imbau kepada masyarakat kena penting jaga sehat lewat prog,1
2022-12-22 04:47:04,presiden jokowi rencana tak lanjut bijak batas giat masyarakat ppkm di indonesia pada akhir t,1
2022-12-22 04:46:48,lama ppkm,0
2022-12-22 04:46:27,moga saja pandemi ini memang segera usai iring dg turun kasus positif covid di indonesia moga ppkm juga b,1
2022-12-22 04:45:09,kabar baik presiden jokowi beri sinyal akhir masa ppkm dan selesai pandemi akhir tahun ini tinggal nunggu hasil,1
2022-12-22 04:45:08,isyarat cabut ppkm demokrat dorong jokowi umum indonesia bebas covid,0
2022-12-22 04:45:03,kemarin jokowi bilang akhir tahun henti ppkm,1
2022-12-22 04:45:01,mantep pak jokowi siap payung hukum henti ppkm di seluruh indonesia,1
2022-12-22 04:44:35,kurang lebih sama kayak kamu lagi planga plongo saja ppkm ,1
2022-12-22 04:43:48,alhamdulillah ini kabar baik kasus covid di indonesia makin landai dan ada mungkin ppkm akan segera b,0
2022-12-22 04:43:05,nih alhamdulillah ya pak jokowi udha bilang dan beri kode juga kalau kasus covid akan akh,0
2022-12-22 04:39:10,presiden sudah minta hasil kaji dari menteri sehat dan menteri koordinator bidang ekonomi seba,1
2022-12-22 04:37:28,perintah rencana setop laku ppkm akhir tahun ini karena sebar kovid di indonesia makin ken,1
2022-12-22 04:36:55,presiden joko widodo beri sinyal akan segera cabut atur ppkm di seluruh indonesia pada akhir tahun ,1
2022-12-22 04:36:49,presiden kata bakal terbit payung hukum henti ppkm upa putus presiden keppres,1
2022-12-22 04:35:52,untung kita saat itu masih tenang tidak gugup tidak gelagap kata jokowi sehingga dia klaim situasi yan,1
2022-12-22 04:34:52,perintah rencana setop laku batas giat masyarakat ppkm akhir tahun ini iring makin ter,1
2022-12-22 04:34:34,presiden jokowi beri sinyal untuk cabut segala batas sosial akibat covid susul kasus hari yang seka,0
2022-12-22 04:34:02,hah kita masih ppkm,0
2022-12-22 04:33:56,airlangga hartarto lama satu tahun terahir indonesia alami turun tular covid,0
2022-12-22 04:33:46,ppkm pusing pusing ken macarinleesoohyuk,1
2022-12-22 04:33:31,presiden jokowi bakal cabut bijak ppkm epidemiolog jangan ragu tidak relevan dengan situasi duduk indones,0
2022-12-22 04:32:19,perintah bakal cabut ppkm epidemiolog jamin pandemi kendali meski mobilitas naik,1
2022-12-22 04:31:03,baru sadar di buku mayat pertama yang bangkit buat nyerang si lengan buntung itu mayatmayat ppkm plongapl,1
2022-12-22 04:30:27,huft mau jadi admin ppkm saja bisa,1
2022-12-22 04:29:00,laku vaksin agar indonesia bebas dari covid dan segera bebas dari ppkm daerah,0
2022-12-22 04:27:45,dokter ikan juru parkir dan empropjuber bentar lagi pasti ngetweet gin jangan buru dan gegabah pak presiden,1
2022-12-22 04:27:14,presiden joko widodo jokowi nyata indonesia akan segera akhir bijak batas sosial skala bes,1
2022-12-22 04:25:02,jokowi siap cabut ppkm dan psbb,1
2022-12-22 04:22:28,minggu lagi kita tutup bln desember ini dengan libur tenang no ppkm ketat habis waktu sama keluarga dan,0
2022-12-22 04:20:16,ppkm plonga plongo kaya m,1
2022-12-22 04:15:16,ada tidak covid gantung putus politik rezim jika rezim ini mau dengar para ahli pandemi dan para viro,1
2022-12-22 04:12:27,nah jd nanti kalo ppkm di stop apakah arti perintah tidak lagi tanggung biaya obat covid dan,1
2022-12-22 04:12:00,itu orang senang klo orang di ppkm ntar negara ngajuin anggar ribu t biar boleh ngutang juga da,1
2022-12-22 04:07:59,cabut ppkm saja tidak cukup perintah juga hrs aku dengan lapang dada ada korban kipi yang alami cacat atau ida,1
2022-12-22 04:07:26,dinkes prov kalsel sampai status ppkm level untuk tangan covid lanjut dari desember hingga ,0
2022-12-22 04:06:59,ppkm henti jelang nataru ini kabar baik kabar buruk yang bilang itu si onoh jadi rakyat harus siap kem,1
2022-12-22 04:06:37,jam layan operasional cabang tetap ikut tentu sesuai jam layan nasabah kantor caba,0
2022-12-22 04:06:35,ppkm level brp,0
2022-12-22 04:05:34,mari kadinkes kalsel status ppkm lanjut agar semua tetap jaga prokes status laku bata,0
2022-12-22 04:03:07,pukul wib sd selesai telah laksana giat patroli gabung dalam rangka laksana ppkm level memba,1
2022-12-22 04:03:02,presiden jokowi beri sinyal cabut ppkm pada akhir tahun fokus presiden joko widodo beri sinyal akan seger,1
2022-12-22 04:02:30,mulai sudah denger hbis libur nataru mau ada ppkm remuk lagi ekonomi ,1
2022-12-22 04:01:48,anies safari politik kmana cengngesan juga ga ada ppkm,1
2022-12-22 04:01:36,pkl wib sd selesai telah laksana giat patroli gabung sama polsek sumberlawang dalam rangka pelaks,1
2022-12-22 04:01:02,pandemi bngan ini akan end karena ini kah ,1
2022-12-22 04:00:06,mau me time tapi kalo g ada temen ngobrol jadi kayak ppkm sendiri ,1
2022-12-22 03:57:28,ya allah cuma beda bulan sama aku aku thn mas suka ppkm,1
2022-12-22 03:55:52,presiden jokowi minta segera akhir ppkm epidemiolog ugm sudah tidak ada urgensi,0
2022-12-22 03:54:16,ppkm plonga plongo kayak momo,1
2022-12-22 03:52:42,sekarepmu atep ppkm arep opo ora penting blas,1
2022-12-22 03:52:38,nonton live outlook ekonomi pak presiden dan ada terang ppkm psbb bakal henti akhir tahun enggak bayang,1
2022-12-22 03:48:12,hbd wyatb gbu gws gpp y gt y hbu ppkm ppki bpupki pppk merdeka,1
2022-12-22 03:46:57,enggak soal aku plonga plongo kayak monyet alias ppkm,1
2022-12-22 03:46:20,telah laksana giat patroli yustisipenyekatan laksana ppkm level i untuk batas mobilitas pindah,1
2022-12-22 03:45:53,presiden joko widodo beri sinyal akan segera cabut atur laku batas giat masyarakat ppkm,0
2022-12-22 03:44:49,dasar kadrun ada ppkm protes enggak ada protes juga hidup lu ribet banget drun kadrun,1
2022-12-22 03:42:50,kalaupun ppkm ini misal mau cabut saya kira ya tunggu telah nataru nanti kita akan lihat juga jangan lupa,0
2022-12-22 03:41:50,telah laksana giat patroli dalam rangka laksana ppkm level batas mobilitas pindah masyarakat d,0
2022-12-22 03:41:26,gue thn masih ppkm,1
2022-12-22 03:40:17,telah laksana giat patroli gabung sama polsek sumberlawang dalam rangka laksana ppkm level bata,0
2022-12-22 03:39:37,ppkm ntr nyambung saat umat islam seperti hari rayamaulid nabi dan yang hubung dengan islam baru klu,1
2022-12-22 03:39:10,siap cabut ppkmpsbb jokowi mungkin akhir tahun,0
2022-12-22 03:36:47,pdhl bos nya mau cabut ppkm g ada proyek lagi,1
2022-12-22 03:36:12,ya sudah langsung terbit sj endak usah malu pasti endak akan ada apa tanpa ppkm ini,1
2022-12-22 03:34:57,telah laksana giat patroli ppkm level dan monitoring antri bbm di spbu wilayah kec sragen anggota,1
2022-12-22 03:34:56,ya sudah langsung terbit sj endak usah malu pasti endak akan ada apa tanpa ppkm ini putus pali,1
2022-12-22 03:34:43,salam reformasi rakyat kurang asupan gizi di paksa vaksinasi harga harga butuh pokok makin tinggi,1
2022-12-22 03:32:17,lbran kmrn emng ppkm,1
2022-12-22 03:31:32,emng ramadhan kmrn ppkm,1
2022-12-22 03:29:22,kalaupun ppkm ini misal mau cabut saya kira ya tunggu telah nataru nanti kita akan lihat juga jangan,0
2022-12-22 03:27:32,bktya kmrn idul fitri nrmal waepdhl sblmy si mamad blng ppkm cuma tuk muslim ajajngn selalu prasangka mlulu,1
2022-12-22 03:27:26,telah laksana giat patroli dalam rangka laksana ppkm level batas mobilitas pindah masyarakat,0
2022-12-22 03:25:07,lah memang sekarang masih ppkm ,0
2022-12-22 03:23:38,koordinator laku batas giat masyarakat ppkm luar jawabali airlangga hartarto sebut indonesia,0
2022-12-22 03:23:00,anggota komisi ix dpr lucy kurniasari dukung rencana perintah cabut laku batas giat masyar,1
2022-12-22 03:22:14,njir kayak di au au wkwkwk perhati wajah tampan pacar sampai ppkm planga plongo kayak meong,1
2022-12-22 03:17:54,aku yang umur masih ppkm plonga plongo kaya monyet,1
2022-12-22 03:17:13,pada hari kamis desember pkl wib sd selesai telah laksana giat patroli laksana ppkm lev,1
2022-12-22 03:14:05,presiden joko jokowi widodo kata laku batas giat masyarakat ppkm akan hapus pada akhir tahun in,1
2022-12-22 03:12:26,buka line langsung ppkm alias plangaplongo kayak miaw sungguh berat brader,1
2022-12-22 03:11:26,telah laksana giat patroli gabung sama polsek golong dalam rangka laksana ppkm level i batas,0
2022-12-22 03:10:53,ketua idi saran tetap pakai masker meski tak ada lagi ppkm,1
2022-12-22 03:08:43,telah laksana giat patroli gabung sama polsek sumberlawang dalam rangka laksana ppkm level membat,0
2022-12-22 03:00:59,syukur indonesia lebih baik ppkm bahkan mau akhir controlled covid policy lebih baik dari zero covid policy,1
2022-12-22 02:59:39,salam reformasi hasilhasil nya rakyat kurang asupan gizi gitu kok malah di tambah ppkm p,1
2022-12-22 02:58:15,ngangongango spt sdang ppkm,1
2022-12-22 02:56:05,telah laksana giat patroli gabung sama polsek sumberlawang dalam rangka laksana ppkm level l dan m,0
2022-12-22 02:55:21,dia ga bahas di china nya jadi rame rakyat ngamuk mau ppkm lagih di copitin lagih yang ngamu,1
2022-12-22 02:52:36,telah laksana giat patroli situasi wilayah ppkm level i dan monitoring antri bbm di spbu wilayah koram,1
2022-12-22 02:52:06,dan awal tahun mulai ppkm lagi,1
2022-12-22 02:51:16,lebaran ada skenario ppkm lagi ga ya tanya opung,1
2022-12-22 02:50:45,presiden jokowi rencana henti laku batas giat masyarakat ppkm di indonesia pada akhir tahun ,1
2022-12-22 02:50:00,jokowi bilang akhir tahun perintah cabut ppkm akademisi hatihati ,1
2022-12-22 02:48:54,ini gua sudah dikit lagi saja masih ppkm alias plonga plongo ky monyet kerja gua ya cuma mjd penonto,1
2022-12-22 02:48:54,jangan coba coba mau ramadhan dan idulfitri ppkm lagi,0
2022-12-22 02:43:58,telah laksana giat patroli ppkm level dan monitoring antri bbm di spbu wilayah kec gondang anggota,1
2022-12-22 02:41:29, main di timlin ya pirsa seluruh aset gambar kalean akan pampang nyata di timlin  kubu yang nebak jug,1
2022-12-22 02:40:08,telah laksana giat patroli gabung dalam rangka laksana ppkm level batas mobilitas pindah,0
2022-12-22 02:39:14,i  m so shocked akhir yang gue baca itu mahasiswa beijing pd marah karena ada massive ppkm di sana sudah kayak lock do,1
2022-12-22 02:36:41,cabut ppkm bukan arti juang lawan covid telah capai finis masih di ambang garis finis pencab,1
2022-12-22 02:33:40,pelda suwardi koramil sukodono brsm bripka agtri utomo dan bripka riyanto polsek sukodono laksana giat,1
2022-12-22 02:29:15,giat operasi jaya patroli skala sedang dan operasi yustisi ppkm level,1
2022-12-22 02:27:05,indonesia akan akhir pandemi covid hari ini kemarin kasus hari kita ada di angka dan mungkin nanti akhir,0
2022-12-22 02:24:45,ini beneran ppkm mau hapus alhamdulillah,1
2022-12-22 02:24:30,telah laksana giat patroli ppkm level dan monitoring antri bbm di spbu wilayah koramil sumberlawa,1
2022-12-22 02:24:13,kirain ppkm,0
2022-12-22 02:23:55,terlalu sering ppkm,1
2022-12-22 02:23:34,oh ini yang ppkm plonga plongo kaya meong,1
2022-12-22 02:16:58,ppkm cabut pemprov ikut bijak presiden via,1
2022-12-22 02:13:32,charles dukung langkah rencana cabut ppkm level,0
2022-12-22 02:12:29,telah laksana giat operasi yustisipenyekatan laksana ppkm level dalam batas mobilitas perpindaha,0
2022-12-22 02:09:34,jelang puasa dan lebaran ppkm lghasyuuuu ancene,1
2022-12-22 02:04:25,nanti pas musim mudik lebaran idul fitri ppkm lagi kyknya seperti yang sudah sudah ,0
2022-12-22 02:04:18,wkwkkw jadi ppkm,1
2022-12-22 02:03:03,ppkm planga plongo kayak monyet,1
2022-12-22 01:57:36,jiwa masih remaja soksokan mau jadi org dewasa  cpk bgt aku saja yang otw punya ktp cuma pp,1
2022-12-22 01:52:00,kabar gembira bagi seluruh masyarakat indonesia jokowi bakal nyata henti ppkm ,1
2022-12-22 01:49:30,kabar gembira bagi seluruh masyarakat indonesia jokowi bakal nyata henti ppkm emily limbo casemiro mo,1
2022-12-22 01:49:26,kabar gembira bagi seluruh masyarakat indonesia jokowi bakal nyata henti ppkm emily limbo casem,1
2022-12-22 01:45:25,rencana perintah cabut ppkm direspon epidemiolog,0
2022-12-22 01:44:56,mana cuma ppkm lagi muka plonga plongo kaya monyet,1
2022-12-22 01:44:54,ppkm plonga plongo kaya meong ,1
2022-12-22 01:43:22,ayoo kak bsreng yaa biar kita ga ppkm sendiri sendiri,1
2022-12-22 01:41:49,jokowi beri sinyal ppkm bakal cabut akhir tahun karena alas ini,0
2022-12-22 01:37:37,ada tidak covid gantung putus politik rezim jika rezim ini mau dengar para ahli pandemi dan para v,1
2022-12-22 01:34:35,presiden jokowi singgung mungkin akhir tahun akan henti laku ppkm,1
2022-12-22 01:33:03,jangan gesa hapus ppkm,1
2022-12-22 01:32:14,ppkm bakal stop presiden joko widodo masih tunggu kaji menteri sehat liput,1
2022-12-22 01:30:54,kabar gembira bagi seluruh masyarakat indonesia jokowi bakal nyata henti ppkm hype boy black eye offic,1
2022-12-22 01:30:49,kabar gembira bagi seluruh masyarakat indonesia jokowi bakal nyata henti ppkm hype boy black eye,1
2022-12-22 01:30:46,selamat pagi dunia tiputipu ingat tanpa tes tanpa ppkm tanpa sunti toxic sangka vaksin serta sertifikat tolol,1
2022-12-22 01:30:22,kamu bego ngg bisa bedain soal virus ma ppkmbotol,0
2022-12-22 01:20:12,akhir tahun ini ppkm di indonesia akan henti epedemiolog prediksi juta duduk china akan kena,1
2022-12-22 01:11:49,loh memang masih ada ppkm,1
2022-12-22 01:11:27,nanti ppkm lagi jelang bulan ramadhan,0
2022-12-22 01:11:02,cabut ppkmpsbb jokowi mungkin akhir tahun,0
2022-12-22 01:10:00,percaya ijin dulu sama opung luhut yeah ,0
2022-12-22 01:00:00,top news koran rakyat merdeka bijak ppkm bakal cabut senayan dukung presiden,1
2022-12-22 00:59:12,ppkm mungkin akan stop di akhir tahun ini iya di akhir yang sisa hari ini presiden timbang kemung,1
2022-12-22 00:56:02,presiden ungkap mungkin ppkm cabut akhir tahun ini epidemiolog usul agar cabut laku set,0
